borough,year,11201,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11241,11242,11243,11249,11252,11256,11240,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474,10475,11691,11692,11693,11694,11697,11351,11354,11355,11356,11357,11358,11359,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11371,11372,11373,11374,11375,11377,11378,11379,11385,11411,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11426,11427,11428,11429,11430,11432,11433,11434,11435,11436,11101,11102,11103,11104,11106,11109,10001,10002,10003,10005,10006,10007,10009,10010,10012,10013,10014,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10041,10055,10103,10104,10105,10106,10107,10110,10111,10112,10118,10119,10120,10121,10122,10123,10128,10151,10152,10153,10154,10155,10158,10162,10165,10166,10167,10168,10169,10170,10171,10172,10173,10174,10175,10176,10177,10178,10270,10271,10278,10279,10280,10281,10282,10048,10200,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10311,10312,10314
BRONX,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879001.77,938880.24,1441459.69,2122208.73,854984.28,799808.92,1043944.57,1358014.39,562900.38,713924.81,898390.64,314906.04,638585.43,482956.74,522401.22,588328.59,807357.45,1253323.65,503836.04,484691.11,513572.02,926073.96,550330.64,858958.06,513933.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496614.6,868345.12,1177217.29,1398647.0,1364590.32,445331.31,651682.63,627871.63,910988.86,603658.01,457220.37,512702.77,400312.58,607462.0,431168.59,401781.79,553754.94,858510.79,457200.99,488937.93,436460.63,694402.93,378440.58,1727334.77,387527.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173606.72,2537463.39,1447691.44,1178935.48,1049722.24,1293045.98,1803631.28,1163203.9,397222.92,871719.63,584842.65,381114.64,763750.13,492738.97,550522.87,511851.17,554030.08,1437202.85,398861.91,458854.05,574807.76,559954.78,356396.36,813704.31,617000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190421.15,2711171.03,1533763.39,1381881.09,1391026.72,1160952.48,532801.69,986291.18,924709.93,1332240.99,463961.04,638811.86,480677.59,473794.36,554569.95,588136.53,654090.06,1374079.8,380361.71,660756.84,678783.56,883173.17,369436.35,780954.7,329250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377835.81,1590551.7,3276456.3,2254768.12,1318243.02,1297169.7,1002574.69,1399322.99,1115932.15,769570.73,573052.54,728875.17,530962.96,379470.74,555539.48,533741.37,1034944.19,1794666.42,638806.99,446763.04,518846.49,561466.5,603889.44,1294951.0,596977.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241225.4,2127037.24,2371710.94,1126103.96,1413081.89,1751449.52,1144559.47,2718691.29,1610055.43,1195996.72,545063.14,593758.17,564197.97,448932.29,410910.86,567980.79,836610.78,1260830.66,401565.3,391653.21,507675.98,817309.34,647271.86,1212137.67,1105333.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061126.82,2142755.1,1671232.83,1926877.88,2527667.7,1904395.39,2210661.11,1951347.0,964498.71,1641813.63,804476.06,938454.95,532084.94,535222.25,476839.37,537418.35,979962.52,2475398.1,460011.27,674184.17,494603.95,595784.53,434462.41,2908729.1,278552.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537624.82,1721748.27,2906118.55,1520042.77,1394497.23,964677.15,1764465.18,1570087.13,759270.17,1035845.62,1865808.9,560380.38,896031.9,517726.17,606011.07,640598.43,1213125.73,1722885.99,448134.68,423398.48,952220.81,851045.62,879390.85,1429894.36,520711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271318.28,3303259.86,1503466.19,1924029.8,1297872.89,1394628.34,1390496.92,1735326.74,1616985.74,839150.85,839641.94,354566.58,681223.8,483215.67,460121.62,503348.25,1047006.99,2830159.82,458345.16,617355.34,579491.09,719828.93,1209770.59,2206852.19,2129468.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239340.5,3057918.65,2089758.75,1663995.41,2071312.21,1349525.2,1475246.6,1529724.0,642289.44,1163292.26,543492.99,421504.6,771417.57,602780.21,727915.21,525755.58,687506.32,1189651.89,485442.32,531289.86,657317.59,753422.67,920307.81,2282819.0,1104341.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
